code,country,Group,Correl
1,Afghanistan,2,0
3,Albania,2,0
4,Algeria,2,0
7,Angola,2,0
11,Argentina,2,0
12,Armenia,,1
14,Australia,3,1
15,Austria,1,0
16,Azerbaijan,,1
18,Bahrain,,1
19,Bangladesh,2,0
21,Belarus,,1
22,Belgium,3,1
24,Benin,4,1
27,Bolivia,2,0
28,Bosnia And Herzegovina,,1
29,Botswana,4,1
31,Brazil,2,0
34,Bulgaria,2,0
35,Burkina Faso,4,1
36,Burundi,2,0
37,Cambodia,2,0
38,Cameroon,2,0
39,Canada,3,1
42,Central African Republic,2,0
43,Chad,4,1
44,Chile,2,0
45,China,2,0
48,Colombia,2,0
50,Congo,4,1
51,"Congo, The Democratic Republic Of The",,1
53,Costa Rica,2,0
54,Cote D'Ivoire,,1
55,Croatia,,1
56,Cuba,2,0
57,Cyprus,,1
58,Czech Republic,1,0
59,Denmark,3,1
62,Dominican Republic,2,0
63,Ecuador,2,0
64,Egypt,2,0
65,El Salvador,4,1
67,Eritrea,,1
68,Estonia,,1
69,Ethiopia,2,0
73,Finland,1,0
74,France,1,0
78,Gabon,1,0
79,Gambia,2,0
80,Georgia,,1
81,Germany,1,0
82,Ghana,4,1
84,Greece,1,0
89,Guatemala,2,0
91,Guinea,4,1
92,Guinea-Bissau,2,0
94,Haiti,2,0
97,Honduras,2,0
98,Hong Kong,,1
99,Hungary,3,1
101,India,4,1
102,Indonesia,4,1
103,"Iran, Islamic Republic Of",2,0
104,Iraq,2,0
105,Ireland,1,0
107,Israel,1,0
108,Italy,3,1
109,Jamaica,4,1
110,Japan,1,0
112,Jordan,4,1
113,Kazakhstan,,1
114,Kenya,4,1
116,"Korea, Democratic People'S Republic Of",2,0
117,"Korea, Republic Of",2,0
118,Kuwait,1,0
119,Kyrgyzstan,,1
120,Lao People'S Democratic Republic,,1
121,Latvia,,1
122,Lebanon,2,0
123,Lesotho,2,0
124,Liberia,2,0
125,Libyan Arab Jamahiriya,1,0
127,Lithuania,,1
130,"Macedonia, The Former Yugoslav Republic Of",,1
131,Madagascar,2,0
132,Malawi,4,1
133,Malaysia,2,0
135,Mali,4,1
139,Mauritania,4,1
140,Mauritius,,1
142,Mexico,1,0
144,"Moldova, Republic Of",,1
146,Mongolia,4,1
148,Morocco,4,1
149,Mozambique,2,0
150,Myanmar,2,0
151,Namibia,2,0
153,Nepal,2,0
154,Netherlands,3,1
157,New Zealand,1,0
158,Nicaragua,2,0
159,Niger,4,1
160,Nigeria,2,0
164,Norway,1,0
165,Oman,,1
166,Pakistan,2,0
168,"Palestinian Territory, Occupied",,1
169,Panama,2,0
170,Papua New Guinea,2,0
171,Paraguay,2,0
172,Peru,2,0
173,Philippines,2,0
175,Poland,2,0
176,Portugal,1,0
177,Puerto Rico,3,1
178,Qatar,,1
180,Romania,2,0
181,Russian Federation,3,1
182,Rwanda,2,0
191,Saudi Arabia,1,0
192,Senegal,4,1
195,Sierra Leone,4,1
196,Singapore,,1
197,Slovakia,,1
198,Slovenia,,1
200,Somalia,4,1
201,South Africa,2,0
203,Spain,1,0
204,Sri Lanka,2,0
205,Sudan,4,1
208,Swaziland,4,1
209,Sweden,1,0
210,Switzerland,1,0
211,Syrian Arab Republic,4,1
213,Tajikistan,,1
214,"Tanzania, United Republic Of",2,0
215,Thailand,2,0
216,Timor-Leste,,1
217,Togo,4,1
220,Trinidad And Tobago,1,0
221,Tunisia,2,0
222,Turkey,4,1
223,Turkmenistan,,1
226,Uganda,4,1
227,Ukraine,,1
228,United Arab Emirates,1,0
229,United Kingdom,3,1
230,United States,3,1
232,Uruguay,2,0
233,Uzbekistan,,1
235,Venezuela,3,1
236,Viet Nam,2,0
241,Yemen,2,0
242,Zambia,4,1
243,Zimbabwe,4,1